Wavelength (nm),Power (W/m2/nm)
699.461,0.0008
699.797,0.001
700.133,0.0007
700.469,0.0006
700.805,0.0005
701.141,0.0004
701.477,0.0005
701.813,0.0007
702.149,0.0008
702.485,0.0008
702.82,0.0009
703.156,0.0009
703.492,0.0007
703.827,0.0007
704.163,0.0007
704.498,0.0005
704.834,0.0005
705.169,0.0007
705.505,0.0006
705.84,0.0007
706.175,0.0008
706.51,0.0008
706.845,0.0008
707.18,0.0009
707.515,0.0008
707.85,0.0007
708.185,0.0007
708.52,0.0006
708.855,0.0006
709.19,0.0005
709.525,0.0006
709.859,0.0005
710.194,0.0007
710.529,0.0006
710.863,0.0006
711.198,0.0006
711.532,0.0006
711.866,0.0003
712.201,0.0002
712.535,0.0003
712.869,0.0003
713.203,0.0003
713.537,0.0005
713.872,0.0005
714.206,0.0003
714.54,0.0004
714.873,0.0004
715.207,0.0004
715.541,0.0005
715.875,0.0006
716.209,0.0005
716.542,0.0004
716.876,0.0003
717.21,0.0003
717.543,0.0002
717.877,0.0001
718.21,0.0004
718.543,0.0003
718.877,0.0003
719.21,0.0003
719.543,0.0006
719.876,0.0005
720.209,0.0004
720.542,0.0004
720.875,0.0003
721.208,0.0003
721.541,0.0003
721.874,0.0004
722.207,0.0005
722.54,0.0004
722.872,0.0004
723.205,0.0005
723.538,0.0006
723.87,0.0006
724.203,0.0009
724.535,0.001
724.868,0.001
725.2,0.0009
725.532,0.001
725.865,0.0006
726.197,0.0005
726.529,0.0005
726.861,0.0005
727.193,0.0004
727.525,0.0008
727.857,0.0009
728.189,0.0008
728.521,0.0009
728.853,0.0007
729.184,0.0007
729.516,0.0004
729.848,0.0005
730.179,0.0004
730.511,0.0003
730.842,0.0002
731.174,0.0003
731.505,0.0004
731.836,0.0004
732.168,0.0007
732.499,0.0007
732.83,0.0005
733.161,0.0005
733.492,0.0005
733.823,0.0004
734.154,0.0001
734.485,0.0002
734.816,0.0004
735.147,0.0004
735.478,0.0003
735.808,0.0005
736.139,0.0007
736.47,0.0006
736.8,0.0006
737.131,0.0007
737.461,0.0007
737.792,0.0006
738.122,0.0007
738.452,0.0007
738.782,0.0006
739.113,0.0007
739.443,0.0007
739.773,0.0006
740.103,0.0003
740.433,0.0005
740.763,0.0006
741.093,0.0005
741.423,0.0004
741.752,0.0006
742.082,0.0004
742.412,0.0001
742.742,0
743.071,0.0001
743.401,0.0002
743.73,0.0002
744.06,0.0004
744.389,0.0005
744.718,0.0006
745.048,0.0003
745.377,0.0004
745.706,0.0003
746.035,0.0002
746.364,0.0002
746.693,0.0002
747.022,0.0002
747.351,0.0003
747.68,0.0004
748.009,0.0005
748.338,0.0007
748.666,0.0007
748.995,0.0005
749.323,0.0003
749.652,0.0001
749.981,0
750.309,-0.0001
750.637,-0.0001
750.966,0.0002
751.294,0.0003
751.622,0.0002
751.95,0.0004
752.279,0.0003
752.607,0.0003
752.935,0.0001
753.263,0
753.591,0.0002
753.919,0.0003
754.246,0.0002
754.574,0.0003
754.902,0.0004
755.23,0.0002
755.557,0.0002
755.885,0.0001
756.212,0.0003
756.54,0.0003
756.867,0.0004
757.195,0.0008
757.522,0.0007
757.849,0.0007
758.176,0.0008
758.503,0.0007
758.831,0.0004
759.158,0.0004
759.485,0.0001
759.812,0.0001
760.138,0.0002
760.465,0.0003
760.792,0.0005
761.119,0.0008
761.446,0.0008
761.772,0.0007
762.099,0.0006
762.425,0.0005
762.752,0.0002
763.078,0.0001
763.405,0.0002
763.731,0.0003
764.057,0.0002
764.383,0.0004
764.71,0.0003
765.036,0.0001
765.362,0
765.688,0.0003
766.014,-0.0001
766.34,0
766.665,0.0002
766.991,0.0001
767.317,-0.0002
767.643,0.0002
767.968,0.0006
768.294,0.0005
768.619,0.0008
768.945,0.001
769.27,0.0008
769.596,0.0007
769.921,0.0007
770.246,0.0006
770.572,0.0005
770.897,0.0005
771.222,0.0002
771.547,0.0001
771.872,0.0002
772.197,0.0002
772.522,0.0004
772.847,0.0005
773.171,0.0005
773.496,0.0005
773.821,0.0003
774.146,0.0001
774.47,0.0002
774.795,0.0001
775.119,-0.0004
775.444,0
775.768,0.0001
776.092,-0.0001
776.417,0.0002
776.741,0.0001
777.065,-0.0001
777.389,0.0001
777.713,0.0005
778.037,0.0001
778.361,0.0004
778.685,0.0004
779.009,0.0003
779.333,0.0001
779.657,0.0002
779.98,0.0003
780.304,0.0002
780.627,0
780.951,0
781.274,0.0002
781.598,0.0001
781.921,0.0001
782.245,0.0002
782.568,0.0001
782.891,0.0002
783.214,0.0003
783.537,0
783.861,0
784.184,0.0002
784.506,-0.0002
784.829,-0.0004
785.152,0.0003
785.475,0.0002
785.798,0.0002
786.12,0.0006
786.443,0.0006
786.766,0.0003
787.088,0.0005
787.411,0.0003
787.733,0.0003
788.056,0.0007
788.378,0.0008
788.7,0.0004
789.022,0
789.345,-0.0002
789.667,-0.0009
789.989,-0.0009
790.311,-0.0007
790.633,0
790.955,0
791.276,0.0004
791.598,0.0002
791.92,0.0004
792.242,0.0002
792.563,0.0003
792.885,0.0003
793.206,0.0006
793.528,0.0006
793.849,0.0008
794.171,0.001
794.492,0.0014
794.813,0.0012
795.134,0.0011
795.456,0.0006
795.777,0.0003
796.098,-0.0001
796.419,0.0001
796.74,0
797.061,0.0007
797.381,0.0009
797.702,0.001
798.023,0.0006
798.344,0.0006
798.664,0.0002
798.985,0.0001
799.305,0.0005
799.626,0.0009
799.946,0.0008
800.267,0.0007
800.587,0.0006
800.907,0
801.227,-0.0008
801.548,-0.0006
801.868,-0.0003
802.188,0.0001
802.508,0.0002
802.828,0.0009
803.147,0.001
803.467,0.001
803.787,0.0009
804.107,0.0009
804.426,0.001
804.746,0.0008
805.066,0.0009
805.385,0.0014
805.705,0.0013
806.024,0.0009
806.343,0.0007
806.663,0.0003
806.982,-0.0005
807.301,-0.0004
807.62,-0.0001
807.939,0
808.258,0
808.577,0.0005
808.896,0.0004
809.215,0
809.534,0.0004
809.852,0.0005
810.171,0.0002
810.49,0.0002
810.808,0.0008
811.127,0.0006
811.445,0.0005
811.764,0.0005
812.082,0.0006
812.401,0.0003
812.719,0.0003
813.037,-0.0003
813.355,-0.0004
813.673,0.0001
813.991,0.0001
814.309,0.0003
814.627,0.0013
814.945,0.0012
815.263,0.0008
815.581,0.0005
815.899,0.0003
816.216,0.0003
816.534,0.0004
816.851,0.0002
817.169,0.0002
817.486,0.0002
817.804,0
818.121,-0.0001
818.438,-0.0002
818.756,0.0002
819.073,0.0001
819.39,-0.0005
819.707,-0.0003
820.024,0.0001
820.341,0
820.658,0
820.975,0.0003
821.292,0.0005
821.608,0.0002
821.925,0.0002
822.242,0.0001
822.558,0.0004
822.875,-0.0001
823.191,-0.0004
823.508,-0.0006
823.824,0.0001
824.141,0
824.457,0.0007
824.773,0.0011
825.089,0.001
825.405,0.0007
825.721,0.0004
826.037,0.0001
826.353,-0.0001
826.669,-0.0002
826.985,-0.0001
827.301,-0.0004
827.617,-0.0003
827.932,-0.0002
828.248,0.0002
828.563,0.0001
828.879,0.0007
829.194,0.0005
829.51,0.0003
829.825,-0.0001
830.14,-0.0006
830.456,-0.001
830.771,-0.0011
831.086,-0.0005
831.401,0
831.716,0.0007
832.031,0.0009
832.346,0.0007
832.661,0.0001
832.976,0.0003
833.29,-0.0001
833.605,-0.0006
833.92,-0.0003
834.234,-0.0001
834.549,-0.0004
834.863,-0.0006
835.178,0.0001
835.492,0.0004
835.806,0.0002
836.121,0.0002
836.435,0
836.749,-0.0003
837.063,-0.0003
837.377,-0.0001
837.691,-0.0001
838.005,0
838.319,0.0008
838.633,-0.0003
