Wavelength (nm),Power (W/m2/nm)
701.477,0
701.813,0.0001
702.149,0.0001
702.485,0.0003
702.82,0.0005
703.156,0.0005
703.492,0.0004
703.827,0.0004
704.163,0.0002
704.498,0.0001
704.834,0.0002
705.169,0.0003
705.505,0.0004
705.84,0.0005
706.175,0.0006
706.51,0.0005
706.845,0.0005
707.18,0.0005
707.515,0.0003
707.85,0.0002
708.185,0.0003
708.52,0.0003
708.855,0.0004
709.19,0.0004
709.525,0.0004
709.859,0.0004
710.194,0.0004
710.529,0.0004
710.863,0.0003
711.198,0.0003
711.532,0.0002
711.866,0
712.201,0
712.535,0.0001
712.869,0
713.203,-0.0001
713.537,0
713.872,-0.0001
714.206,-0.0002
714.54,-0.0002
714.873,-0.0001
715.207,0
715.541,0
715.875,0
716.209,0.0001
716.542,0
716.876,0
717.21,0
717.543,0.0001
717.877,-0.0001
718.21,0.0002
718.543,0
718.877,0.0001
719.21,0.0001
719.543,0.0002
719.876,0.0001
720.209,0.0002
720.542,0
720.875,0.0002
721.208,0.0003
721.541,0.0002
721.874,0.0002
722.207,0.0003
722.54,0
722.872,-0.0001
723.205,0
723.538,0.0003
723.87,0.0002
724.203,0.0006
724.535,0.0007
724.868,0.0007
725.2,0.0006
725.532,0.0006
725.865,0.0005
726.197,0.0003
726.529,0.0003
726.861,0.0003
727.193,0.0004
727.525,0.0007
727.857,0.0008
728.189,0.0006
728.521,0.0007
728.853,0.0005
729.184,0.0003
729.516,0.0004
729.848,0.0005
730.179,0.0004
730.511,0.0002
730.842,0.0003
731.174,0.0001
731.505,0
731.836,0.0001
732.168,0.0003
732.499,0.0003
732.83,0.0003
733.161,0.0004
733.492,0.0004
733.823,0.0003
734.154,-0.0001
734.485,0
734.816,0
735.147,0
735.478,-0.0002
735.808,0.0002
736.139,0.0003
736.47,0.0003
736.8,0.0004
737.131,0.0006
737.461,0.0005
737.792,0.0003
738.122,0.0004
738.452,0.0004
738.782,0.0005
739.113,0.0005
739.443,0.0008
739.773,0.0007
740.103,0.0005
740.433,0.0006
740.763,0.001
741.093,0.0009
741.423,0.0009
741.752,0.001
742.082,0.0006
742.412,0.0003
742.742,0.0003
743.071,0.0001
743.401,0.0005
743.73,0.0006
744.06,0.0007
744.389,0.0006
744.718,0.0008
745.048,0.0004
745.377,0.0003
745.706,0.0004
746.035,0.0004
746.364,0.0003
746.693,0.0004
747.022,0.0003
747.351,0.0002
747.68,0.0002
748.009,0.0003
748.338,0.0004
748.666,0.0005
748.995,0.0006
749.323,0.0004
749.652,0.0002
749.981,0.0002
750.309,0.0002
750.637,-0.0001
750.966,0.0001
751.294,0.0001
751.622,0
751.95,-0.0001
752.279,-0.0001
752.607,0
752.935,-0.0002
753.263,0
753.591,0.0001
753.919,0.0002
754.246,0.0002
754.574,0.0004
754.902,0.0003
755.23,0.0003
755.557,0.0004
755.885,0.0004
756.212,0.0007
756.54,0.0007
756.867,0.0007
757.195,0.0006
757.522,0.0004
757.849,0.0002
758.176,0.0004
758.503,0.0002
758.831,0.0001
759.158,0.0002
759.485,0.0002
759.812,0.0001
760.138,0.0002
760.465,0.0003
760.792,0.0005
761.119,0.0007
761.446,0.0007
761.772,0.001
762.099,0.0012
762.425,0.0008
762.752,0.0004
763.078,0.0003
763.405,0.0003
763.731,0.0002
764.057,0.0003
764.383,0.0005
764.71,0.0004
765.036,0.0002
765.362,0.0001
765.688,0.0003
766.014,0.0003
766.34,0.0004
766.665,0.0002
766.991,0.0002
767.317,0.0003
767.643,0.0003
767.968,0.0006
768.294,0.0009
768.619,0.0012
768.945,0.0008
769.27,0.0006
769.596,0.0005
769.921,0.0004
770.246,0.0001
770.572,0.0004
770.897,0.0006
771.222,0.0004
771.547,0.0005
771.872,0.0003
772.197,0.0003
772.522,0.0005
772.847,0.0007
773.171,0.0006
773.496,0.001
773.821,0.0009
774.146,0.0007
774.47,0.0005
774.795,0.0001
775.119,-0.0005
775.444,-0.0005
775.768,-0.0004
776.092,-0.0004
776.417,0
776.741,0.0002
777.065,0
777.389,0.0002
777.713,0.0004
778.037,0.0005
778.361,0.0006
778.685,0.0008
779.009,0.0005
779.333,0.0005
779.657,0.0004
779.98,0.0005
780.304,0.0005
780.627,0.0005
780.951,0.0003
781.274,0.0006
781.598,0.0008
781.921,0.0005
782.245,0.0005
782.568,0.0005
782.891,0.0001
783.214,-0.0001
783.537,0.0001
783.861,0.0002
784.184,0
784.506,0.0002
784.829,0.0001
785.152,0.0001
785.475,-0.0001
785.798,0.0001
786.12,0.0002
786.443,0.0007
786.766,0.001
787.088,0.0011
787.411,0.0013
787.733,0.0013
788.056,0.0013
788.378,0.0011
788.7,0.001
789.022,0.0006
789.345,0.0002
789.667,-0.0006
789.989,-0.0004
790.311,0.0002
790.633,0.0005
790.955,0.0006
791.276,0.0011
791.598,0.0008
791.92,0.0005
792.242,0.0003
792.563,0.0003
792.885,0.0002
793.206,0.0002
793.528,0.0004
793.849,0.0006
794.171,0.0009
794.492,0.0011
794.813,0.0011
795.134,0.0009
795.456,0.0008
795.777,0.0003
796.098,0.0002
796.419,0.0001
796.74,0
797.061,0.0004
797.381,0.0005
797.702,0.0007
798.023,0.0006
798.344,0.0006
798.664,-0.0001
798.985,0.0001
799.305,0
799.626,0.0002
799.946,0.0003
800.267,0.0006
800.587,0.0009
800.907,0.0011
801.227,0.0006
801.548,0.0007
801.868,0.0007
802.188,0.0004
802.508,0.0002
802.828,0.0011
803.147,0.0009
